URL,Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Manufacturer,Model,Fuel Type
https://olx.ba/artikal/61398788,379.800 KM,Automatik,2023,430.0,15.000km,4.0,Mercedes-Benz,G 63 AMG,Benzin
https://olx.ba/artikal/59957543,74.900 KM,Automatik,2021,147.0,70.000km,2.0,Volkswagen,Golf,Dizel
https://olx.ba/artikal/61345738,92990 KM,Automatik,2022,173.0,123.821km,2.0,Volvo,XC 60,Dizel
https://olx.ba/artikal/61988821,106.900 KM,Automatik,2023,145.0,26.000km,2.0,Volvo,XC 60,Dizel
https://olx.ba/artikal/59892918,77900 KM,Automatik,2018,125.0,104.820km,2.0,Mercedes-Benz,GLC 220 Coupe,Dizel
https://olx.ba/artikal/60521102,99.500 KM,Automatik,2023,150.0,16.850km,2.8,Toyota,Hilux,Dizel
https://olx.ba/artikal/61188800,73.500 KM,Automatik,2021,147.0,59.650km,2.0,Volkswagen,Arteon,Dizel
https://olx.ba/artikal/56484063,139.000 KM,Automatik,2015,430.0,170.000km,5.5,Mercedes-Benz,S 63 AMG,Benzin
https://olx.ba/artikal/62048981,105.000 KM,Automatik,2018,210.0,68.360km,3.0,Audi,A7,Dizel
https://olx.ba/artikal/61601641,67.900 KM,Automatik,2020,140.0,211.000km,2.0,Audi,A5,Dizel
https://olx.ba/artikal/59325877,65.980 KM,Automatik,2019,140.0,156.900km,2.0,Škoda,Kodiaq,Dizel
https://olx.ba/artikal/60562348,106.980 KM,Automatik,2022,173.0,111.285km,2.0,Volvo,XC 90,Dizel
https://olx.ba/artikal/61672115,229.900 KM,Automatik,2023,260.0,6.900km,3.0,Porsche,Cayenne,Benzin
https://olx.ba/artikal/62237541,100.000 KM,Automatik,2023,340.0,24.000km,,Tesla,Model Y,Elektro
https://olx.ba/artikal/57001778,84.500 KM,Automatik,2016,165.0,230km,3.0,Volkswagen,Amarok,Dizel
https://olx.ba/artikal/62233404,92.950 KM,Automatik,2019,150.0,173.000km,2.0,Audi,A6,Dizel
https://olx.ba/artikal/54622841,59.000 KM,Automatik,2018,190.0,146.000km,2.0,Volkswagen,Tiguan,Dizel
